id,district,year,set_name,question_no,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,language,tags
1,Pune,2024,Set A,1,महाराष्ट्र राज्याची स्थापना कोणत्या वर्षी झाली?,1950,1956,1960,1962,C,महाराष्ट्र राज्याची स्थापना 1 मे 1960 रोजी झाली.,mr,history;state
2,Pune,2024,Set A,2,भारतीय संविधानाचे जनक कोणाला म्हटले जाते?,महात्मा गांधी,डॉ बाबासाहेब आंबेडकर,नेहरू,राजेंद्र प्रसाद,B,डॉ बाबासाहेब आंबेडकर यांना भारतीय संविधानाचे जनक म्हटले जाते.,mr,constitution;history
3,Pune,2024,Set A,3,भारतातील सर्वात लांब नदी कोणती?,गंगा,गोदावरी,नर्मदा,यमुना,A,गंगा ही भारतातील सर्वात लांब नदी आहे.,mr,geography;rivers
4,Pune,2024,Set A,4,भारतीय राष्ट्रीय ध्वजामध्ये किती रंग आहेत?,2,3,4,5,B,भारतीय ध्वजामध्ये केशरी, पांढरा आणि हिरवा असे तीन रंग आहेत.,mr,gk;national
5,Pune,2024,Set A,5,महाराष्ट्राची राजधानी कोणती?,पुणे,मुंबई,नागपूर,नाशिक,B,मुंबई ही महाराष्ट्राची राजधानी आहे.,mr,state;gk
6,Pune,2024,Set A,6,एका आठवड्यात किती दिवस असतात?,5,6,7,8,C,एका आठवड्यात 7 दिवस असतात.,mr,math;basic
7,Pune,2024,Set A,7,भारतीय चलनाचे नाव काय आहे?,डॉलर,रुपया,युरो,दिनार,B,भारतातील चलन रुपया आहे.,mr,economy;gk
8,Pune,2024,Set A,8,पोलिस दल कोणत्या विभागाशी संबंधित आहे?,न्याय,कार्यकारी,विधायी,शैक्षणिक,B,पोलिस दल कार्यकारी विभागाचा भाग आहे.,mr,polity;law
9,Pune,2024,Set A,9,10 + 15 × 2 = किती?,50,40,35,30,B,BODMAS नियमानुसार 15×2=30 आणि 10+30=40.,mr,math;aptitude
10,Pune,2024,Set A,10,भारतीय संविधान कधी लागू झाले?,26 जानेवारी 1950,15 ऑगस्ट 1947,2 ऑक्टोबर 1950,1 मे 1960,A,भारतीय संविधान 26 जानेवारी 1950 रोजी लागू झाले.,mr,constitution;dates
